id	cog	domain
A0A1Y4U2W5		bacteria
A0A1Y4UF34		bacteria
A0A1Y4WMB5		bacteria
A0A1Y5MLT1		bacteria
A0A1Y5MPA8		bacteria
A0A1Y5MQF6		bacteria
A0A1Y5NAG9		bacteria
A0A1Y5NCF5		bacteria
A0A1Y5NPJ6		bacteria
A0A1Z7M1K5		bacteria
A0A1Z7M4F0		bacteria
A0A1Z8P195		bacteria
A0A1Z8SEW7		bacteria
A0A1Z8Z4P0		bacteria
A0A1Z8ZX85		bacteria
A0A1Z9FLS0		bacteria
A0A1Z9IP88		bacteria
A0A1Z9JGF2		bacteria
A0A1Z9STR5		bacteria
A0A223D6R6		bacteria
A0A226BYD3		bacteria
A0A226C2V4		bacteria
A0A227L7X9	ENOG50313TT;	bacteria
A0A231W697		bacteria
A0A235B772		bacteria
A0A235FBY5		bacteria
A0A256C0C2		bacteria
A0A256CAX4		bacteria
A0A256WFX7		bacteria
A0A257U5W3		bacteria
A0A257V0B6		bacteria
A0A257VIF2		bacteria
A0A259URJ9		bacteria
A0A263BRG3		bacteria
A0A264T4J9		bacteria
A0A264TCM6		bacteria
A0A265Q4L8		bacteria
A0A265Q6T1		bacteria
A0A265Q9E8		bacteria
A0A265QBG6		bacteria
A0A267MMV1		bacteria
A0A267MPG4		bacteria
A0A268KBX9		bacteria
A0A269TFM6		bacteria
A0A2A2INL6		bacteria
A0A2A4L4X0		bacteria
A0A2A4L7G0		bacteria
A0A2A4Q6A0		bacteria
A0A2A4S423		bacteria
A0A2A5A571		bacteria
A0A2A5YX54		bacteria
A0A2A6RFH6		bacteria
A0A2A8V9L5		bacteria
A0A2B2BTB0		bacteria
A0A2C1ZG45		bacteria
A0A2C2UY52		bacteria
A0A2D1TVJ8		bacteria
A0A2D3W3J7		bacteria
A0A2D3W8F4		bacteria
A0A2D4RUP7		bacteria
A0A2D5BRM8		bacteria
A0A2D5G2G4		bacteria
A0A2D5US13		bacteria
A0A2D5VWC2		bacteria
A0A2D6F651		bacteria
A0A2D6FPC8		bacteria
A0A2D6G1J9		bacteria
A0A2D6GDH6		bacteria
A0A2D6J194		bacteria
A0A2D6KGY5		bacteria
A0A2D6LFC3		bacteria
A0A2D6N3P9		bacteria
A0A2D6PEV6		bacteria
A0A2D6QCI4		archaea
A0A2D6UCG1		bacteria
A0A2D6YHU0		bacteria
A0A2D7ILR5		bacteria
A0A2D7N8W7		bacteria
A0A2D7UUL0		bacteria
A0A2D7UXQ6		bacteria
A0A2D7X998		bacteria
A0A2D8FB72		archaea
A0A2D8LS16		bacteria
A0A2D8PIT2		bacteria
A0A2D8UTS1		bacteria
A0A2D8VQE8		bacteria
A0A2D8WCS3		bacteria
A0A2D8ZY56		bacteria
A0A2D9GMW6		bacteria
A0A2D9IXL8		bacteria
A0A2D9LUS2		bacteria
A0A2D9MV00		bacteria
A0A2D9QLP1		bacteria
A0A2D9RSC4		bacteria
A0A2D9W7M8		bacteria
A0A2D9XYN1		bacteria
A0A2D9ZS20		bacteria
A0A2E0E216		bacteria
A0A2E0EH70		bacteria
A0A2E0HXZ5		bacteria
A0A2E0R088		bacteria
A0A2E0UCM4		bacteria
A0A2E0USR2		bacteria
A0A2E0WHN7		bacteria
A0A2E0ZUI1		bacteria
A0A2E1CCY6		bacteria
A0A2E1DL80		bacteria
A0A2E1WR03		bacteria
A0A2E1ZVN1		bacteria
A0A2E2AIT9		bacteria
A0A2E2DTM0		bacteria
A0A2E2NV86		bacteria
A0A2E2RGF2		bacteria
A0A2E2V5J9		bacteria
A0A2E2VFC7		bacteria
A0A2E2WZG0		bacteria
A0A2E2ZM79		bacteria
A0A2E3ALH5		bacteria
A0A2E3BNH6		bacteria
A0A2E3CRU9		bacteria
A0A2E3DQC7		bacteria
A0A2E3HCH1		bacteria
A0A2E3JB72		bacteria
A0A2E3R4W1		bacteria
A0A2E3R7R7		bacteria
A0A2E3TVC8		bacteria
A0A2E3WSD3		bacteria
A0A2E3Y431		bacteria
A0A2E3YDV4		bacteria
A0A2E3ZDR4		bacteria
A0A2E4AX06		bacteria
A0A2E4BSD4		bacteria
A0A2E4BV68		bacteria
A0A2E4DHA7		bacteria
A0A2E4HAT6		bacteria
A0A2E4JJ60		bacteria
A0A2E4JN30		bacteria
A0A2E4PWR0		bacteria
A0A2E4STS7		bacteria
A0A2E4VF04		bacteria
A0A2E4WIW7		bacteria
A0A2E5BXY3		bacteria
A0A2E5BZR6		bacteria
A0A2E5D5F8		bacteria
A0A2E5E4S8		bacteria
A0A2E5EXX9		bacteria
A0A2E5F4M4		bacteria
A0A2E5FU50		bacteria
A0A2E5GXB8		bacteria
A0A2E5HFJ7		bacteria
A0A2E5HV23		bacteria
A0A2E5I1E1		bacteria
A0A2E5IJ83		bacteria
A0A2E5J288		bacteria
A0A2E5JTX3		bacteria
A0A2E5JW75		bacteria
A0A2E5KZF6		bacteria
A0A2E5L0E8		bacteria
A0A2E5LYD8		bacteria
A0A2E5NSZ2		bacteria
A0A2E5NVC5		bacteria
A0A2E5P1V9		bacteria
A0A2E5PN11		bacteria
A0A2E5Q2G4		bacteria
A0A2E5R9T6		bacteria
A0A2E5SV95		bacteria
A0A2E5SXG6		bacteria
A0A2E5UMN2		bacteria
A0A2E5WH94		bacteria
A0A2E5XET9		bacteria
A0A2E5ZEZ8		bacteria
A0A2E6B1Y6		bacteria
A0A2E6CMV8		bacteria
A0A2E6D7M6		bacteria
A0A2E6DM59		bacteria
A0A2E6ET38		bacteria
A0A2E6F8U4		bacteria
A0A2E6S3M9		bacteria
A0A2E6SBT5		bacteria
A0A2E6SFV8		bacteria
A0A2E6UHX3		bacteria
A0A2E6UMA8		bacteria
A0A2E6XH65		bacteria
A0A2E6XV76		bacteria
A0A2E6ZG95		bacteria
A0A2E6ZQR2		bacteria
A0A2E7A341		bacteria
A0A2E7F8L6		bacteria
A0A2E7JSV1		bacteria
A0A2E7MFI7		bacteria
A0A2E7MZV6		bacteria
A0A2E7PLM6		bacteria
A0A2E7Q8G2		bacteria
A0A2E7QF52		bacteria
A0A2E7S868		bacteria
A0A2E7SLK5		bacteria
A0A2E7SV64		bacteria
A0A2E7T5W8		bacteria
A0A2E7XAN0		bacteria
A0A2E7Z3I0		bacteria
A0A2E8BFG1		bacteria
A0A2E8DAI4		bacteria
A0A2E8DQX9		bacteria
A0A2E8F354		bacteria
A0A2E8GDW3		bacteria
A0A2E8GWY1		bacteria
A0A2E8GZZ8		bacteria
A0A2E8H468		bacteria
A0A2E8K4U2		bacteria
A0A2E8L9C0		bacteria
A0A2E8M7F5		bacteria
A0A2E8QT50		bacteria
A0A2E8R9L2		bacteria
A0A2E8V8A3		bacteria
A0A2E8X794		bacteria
A0A2E9A3Z3		bacteria
A0A2E9J718		bacteria
A0A2E9LDV3		bacteria
A0A2E9LM08		bacteria
A0A2E9LV87		bacteria
A0A2E9PZZ1		bacteria
A0A2E9USG7		bacteria
A0A2E9W3X5		bacteria
A0A2E9WMC6		bacteria
A0A2E9WZ95		bacteria
A0A2E9XCD1		bacteria
A0A2E9Y4E0		bacteria
A0A2G1Y4F2		bacteria
A0A2G2DH16		bacteria
A0A2G2DUZ6		bacteria
A0A2G2MEV7		bacteria
A0A2G2MJ78		bacteria
A0A2G2MXQ9		bacteria
A0A2G6BRQ7		bacteria
A0A2G6BSU9		bacteria
A0A2G6BSX1		bacteria
A0A2G6BWP3		bacteria
A0A2G6DEH0		bacteria
A0A2G6JH10		bacteria
A0A2G6M3Y8		bacteria
A0A2G6M814		bacteria
A0A2G6MFI4		bacteria
A0A2G6MSK4		bacteria
A0A2G6MVH8		bacteria
A0A2G6N991		bacteria
A0A2G6NLM0		bacteria
A0A2G6P774		bacteria
A0A2G6PA78		bacteria
A0A2G6QMM7		bacteria
A0A2G6QPA0		bacteria
A0A2G7HJA4		bacteria
A0A2G7HL27		bacteria
A0A2G9XP99		bacteria
A0A2G9ZPT9		bacteria
A0A2H0AMT9		bacteria
A0A2H0YED8		bacteria
A0A2I0QWL7		bacteria
A0A2I1JX09		bacteria
A0A2I1NAD1		bacteria
A0A2J6J7C1		bacteria
A0A2J6JEC5		bacteria
A0A2J6WML6		bacteria
A0A2K2HB60		bacteria
A0A2K2U3L0		bacteria
A0A2K2UDF1		bacteria
A0A2K2VS28		bacteria
A0A2L1GMM2		bacteria
A0A2L2XBS3		bacteria
A0A2M6ZMJ7		bacteria
A0A2M7BJS4		bacteria
A0A2M7CA11		bacteria
A0A2M7EFK0		bacteria
A0A2M7F6V4		bacteria
A0A2M7F995		bacteria
A0A2M7JMJ8		bacteria
A0A2M7JQW5		bacteria
A0A2M7TB54		bacteria
A0A2M8CSP6		bacteria
A0A2M8D4U1		bacteria
A0A2M8Q9P5		bacteria
A0A2M8QA41		bacteria
A0A2M8S5V2		bacteria
A0A2M8ZAC8		bacteria
A0A2M8ZAD6		bacteria
A0A2N1P9T3		bacteria
A0A2N1QUI9		bacteria
A0A2N1RTE2		bacteria
A0A2N1TQ56		bacteria
A0A2N2AEF4		bacteria
A0A2N2D8C8		bacteria
A0A2N2DBR6		bacteria
A0A2N2DLM8		bacteria
A0A2N2DQ23		bacteria
A0A2N2DQ31		bacteria
A0A2N2FAX3		bacteria
A0A2N2FB57		bacteria
A0A2N2FKL6		bacteria
A0A2N2FQN4		bacteria
A0A2N2FV46		bacteria
A0A2N2GG00		bacteria
A0A2N2H0Q6		bacteria
A0A2N2HJK1		bacteria
A0A2N2HX66		bacteria
A0A2N2I5L6		bacteria
A0A2N2J0I6		bacteria
A0A2N2K060		bacteria
A0A2N2KLK3		bacteria
A0A2N2LV76		bacteria
A0A2N2MM18		bacteria
A0A2N2NMD9		bacteria
A0A2N2P3X6		bacteria
A0A2N2PZ28		bacteria
A0A2N3F4K1		bacteria
A0A2N3FH95		bacteria
A0A2N3GXS1		bacteria
A0A2N3LLU4		bacteria
A0A2N5G107		bacteria
A0A2N5GCU4		bacteria
A0A2N5GLJ7		bacteria
A0A2N5GXY8		bacteria
A0A2N5HVZ2		bacteria
A0A2N5I4D2		bacteria
A0A2N5K8X0		bacteria
A0A2N5KKR9		bacteria
A0A2N5M4M7		bacteria
A0A2N5MDY9		bacteria
A0A2N6AWG9		bacteria
A0A2N6B6T5		bacteria
A0A2N6BH21		bacteria
A0A2N6BUB9		bacteria
A0A2N6DFS5		bacteria
A0A2N6DY33		bacteria
A0A2N6DZM5		bacteria
A0A2N6ESM1		bacteria
A0A2N6EZR1		bacteria
A0A2N6F0C2		bacteria
A0A2N6F5S0		bacteria
A0A2N6FUW3		bacteria
A0A2N6SFL2		bacteria
A0A2N6SNC7		bacteria
A0A2N7PJ69		bacteria
A0A2N7PPW3		bacteria
A0A2N7QES3		bacteria
A0A2N8PT14		bacteria
A0A2P1G2C0		bacteria
A0A2P1G3D8		bacteria
A0A2P1S5H5		bacteria
A0A2P1TV98		bacteria
A0A2P5P6I7		bacteria
A0A2P6MDU2		bacteria
A0A2P8M5Y2		bacteria
A0A2P8R469		bacteria
A0A2S0L6K3		bacteria
A0A2S0M6V3		bacteria
A0A2S3QK37		bacteria
A0A2T2R7C8		bacteria
A0A2T2RKU2		bacteria
A0A2T2WFY0		bacteria
A0A2T2WWI5		bacteria
A0A2T2WWU8		bacteria
A0A2T2XEI9		bacteria
A0A2T3J360		bacteria
A0A2T3JFK2		bacteria
A0A2T3JFL3		bacteria
A0A2T3JFQ4		bacteria
A0A2T3L766		bacteria
A0A2T3L768		bacteria
A0A2T3L7L4		bacteria
A0A2T3NIZ3		bacteria
A0A2T3NJ28		bacteria
A0A2T3NWI1		bacteria
A0A2T3NWP1		bacteria
A0A2T3NWQ8		bacteria
A0A2T3P9L8		bacteria
A0A2T3P9M1		bacteria
A0A2T4TEE3		bacteria
A0A2T4TEQ2		bacteria
A0A2T4TY12		bacteria
A0A2T4U7X4		bacteria
A0A2T5CDS0		bacteria
A0A2U0QR70		bacteria
A0A2U1RIG9		bacteria
A0A2U1S0S8		bacteria
A0A2U2M3S2		bacteria
A0A2U2SBZ0		bacteria
A0A2U2SS32		bacteria
A0A2U8DJQ6		bacteria
A0A2U8DPX5		bacteria
A0A2U8DQH6		bacteria
A0A2U8DR64		bacteria
A0A2U8DV41		bacteria
A0A2U8FCA6		bacteria
A0A2U8FJM7		bacteria
A0A2U9DXQ8		bacteria
A0A2V1GZV4		bacteria
A0A2V2DW22		bacteria
A0A2V2ENZ8		bacteria
A0A2V2FNZ2		bacteria
A0A2V2G4E9		bacteria
A0A2V2RF32		bacteria
A0A2V2ST67		bacteria
A0A2V5TP97		bacteria
A0A2V5TWY4		bacteria
A0A2V5XCC3		bacteria
A0A2V5XG46		bacteria
A0A2V6ANJ0		bacteria
A0A2V6E755		bacteria
A0A2V6EFJ8		bacteria
A0A2V6EJJ9		bacteria
A0A2V6F841		bacteria
A0A2V6G5G6		bacteria
A0A2V6LWS4		bacteria
A0A2V6NDE2		bacteria
A0A2V6PZ55		bacteria
A0A2V6QNE4		bacteria
A0A2V6R313		bacteria
A0A2V6R831		bacteria
A0A2V6RYN2		bacteria
A0A2V6SR75		bacteria
A0A2V6SV03		bacteria
A0A2V6TTW1		bacteria
A0A2V6TU70		bacteria
A0A2V6URZ1		bacteria
A0A2V6V0Z2		bacteria
A0A2V6V666		bacteria
A0A2V6VKQ7		bacteria
A0A2V6WDG7		bacteria
A0A2V7A999		bacteria
A0A2V7AKI5		bacteria
A0A2V7B1U4		bacteria
A0A2V7CET7		bacteria
A0A2V7DLN7		bacteria
A0A2V7DRN4		bacteria
A0A2V7EVZ1		bacteria
A0A2V7F6K0		bacteria
A0A2V7FV10		bacteria
A0A2V7G4B9		bacteria
A0A2V7GJE9		bacteria
A0A2V7H1B4		bacteria
A0A2V7INE8		bacteria
A0A2V7IUS1		bacteria
A0A2V7JG78		bacteria
A0A2V7KC85		bacteria
A0A2V7KEH4		bacteria
A0A2V7KK34		bacteria
A0A2V7L2L6		bacteria
A0A2V7LF01		bacteria
A0A2V7LJC1		bacteria
A0A2V7LVB9		bacteria
A0A2V7MK01		bacteria
A0A2V7MRA3		bacteria
A0A2V7N7I5		bacteria
A0A2V7NUF6		bacteria
A0A2V7PH35		bacteria
A0A2V7PKH0		bacteria
A0A2V7PQT4		bacteria
A0A2V7PUH0		bacteria
A0A2V7Q7T5		bacteria
A0A2V7QC78		bacteria
A0A2V7QGV3		bacteria
A0A2V7R2G9		bacteria
A0A2V7R869		bacteria
A0A2V7RNU7		bacteria
A0A2V7RWY4		bacteria
A0A2V7SHH3		bacteria
A0A2V7SRM5		bacteria
A0A2V7TEW6		bacteria
A0A2V7TQM0		bacteria
A0A2V7UMV7		bacteria
A0A2V7ZQN7		bacteria
A0A2V8AML8		bacteria
A0A2V8DMS8		bacteria
A0A2V8EY83		bacteria
A0A2V8FE64		bacteria
A0A2V8G686		bacteria
A0A2V8HNQ6		bacteria
A0A2V8S6A4		bacteria
A0A2V8S7J3		bacteria
A0A2V8SXF5		bacteria
A0A2V8T8R2		bacteria
A0A2V8TM67		bacteria
A0A2V8VGS5		bacteria
A0A2V8VIK0		bacteria
A0A2V8WBV6		bacteria
A0A2V8XBD4		bacteria
A0A2V8XYQ4		bacteria
A0A2V8ZAA0		bacteria
A0A2V9A2V9		bacteria
A0A2V9A754		bacteria
A0A2V9CA72		bacteria
A0A2V9EEY4		bacteria
A0A2V9EUR0		bacteria
A0A2V9FJK3		bacteria
A0A2V9G718		bacteria
A0A2V9HXS3		bacteria
A0A2V9J4P1		bacteria
A0A2V9JM59		bacteria
A0A2V9LM73		bacteria
A0A2V9MZP3		bacteria
A0A2V9N5Q2		bacteria
A0A2V9S717		bacteria
A0A2V9SUA3		bacteria
A0A2V9T8M1		bacteria
A0A2V9TN08		bacteria
A0A2V9UPD5		bacteria
A0A2V9UVD1		bacteria
A0A2V9VCM3		bacteria
A0A2V9W0M8		bacteria
A0A2V9WNG1		bacteria
A0A2V9WP74		bacteria
A0A2V9WZ47		bacteria
A0A2V9YW87		bacteria
A0A2W0B3R9		bacteria
A0A2W0BUN2		bacteria
A0A2W1NRR4		bacteria
A0A2W4JZ74		bacteria
A0A2W4K1R3		bacteria
A0A2W4KXG2		bacteria
A0A2W4LLE5		bacteria
A0A2W4N0X9		bacteria
A0A2W4PGU9		bacteria
A0A2W4QPK3		bacteria
A0A2W4S3A8		bacteria
A0A2W4S6E3		bacteria
A0A2W5X9V0		bacteria
A0A2W5XPX6		bacteria
A0A2W5ZN83		bacteria
A0A2W6BDH2		bacteria
A0A2W6BLY8		bacteria
A0A2W6MUD9		bacteria
A0A2Z3U5F4		bacteria
A0A2Z4W7W6		bacteria
A0A2Z4WDA9		bacteria
A0A2Z5PDE9		archaea
A0A2Z5PME3		archaea
A0A315X9E5		bacteria
A0A316LZJ4		bacteria
A0A316ML24		bacteria
A0A316N1B8		bacteria
A0A316NBD0		bacteria
A0A316P7E0		bacteria
A0A316PML2		bacteria
A0A316QNN3		bacteria
A0A317J0H7		bacteria
A0A317TBQ2		bacteria
A0A317TPJ4		bacteria
A0A318CSB7		bacteria
A0A318CX46		bacteria
A0A321LX28		bacteria
A0A323TRT8		bacteria
A0A327GTX1		archaea
A0A328FKN3		bacteria
A0A328KFV8		bacteria
A0A328KMQ1		bacteria
A0A329ZC92		bacteria
A0A329ZXQ1		bacteria
A0A345FX13		bacteria
A0A345IWW6		bacteria
A0A345J4F7		bacteria
A0A346AZ38		bacteria
A0A346K9Y0		bacteria
A0A347TM99		bacteria
A0A347U9L6		bacteria
A0A348NZ10		bacteria
A0A348UXH7		bacteria
A0A348VER0		bacteria
A0A348Z0M1		bacteria
A0A348Z709		bacteria
A0A349A3E0		bacteria
A0A349A6M6		bacteria
A0A349EP53		bacteria
A0A349GR83		bacteria
A0A349HEM6		bacteria
A0A349HRZ1		bacteria
A0A349HTB0		bacteria
A0A349U557		bacteria
A0A350G372		bacteria
A0A350RK25		bacteria
A0A350UKG5		bacteria
A0A350VC00		bacteria
A0A350XQQ3		bacteria
A0A350Z6C7		bacteria
A0A351B4V3		bacteria
A0A351K0D2		bacteria
A0A351KA27		bacteria
A0A351KCU1		bacteria
A0A351QT75		bacteria
A0A351QTX1		bacteria
A0A351US33		bacteria
A0A351WZF6		bacteria
A0A352A2W5		bacteria
A0A352A7K3		bacteria
A0A352A8S0		bacteria
A0A352ILV5		bacteria
A0A352NMC1		bacteria
A0A352NUX4		bacteria
A0A352NWE6		bacteria
A0A352RNY0		bacteria
A0A352SVB3		bacteria
A0A352SZE5		bacteria
A0A352UEE4		bacteria
A0A352XUW7		bacteria
A0A352Z861		bacteria
A0A353DHR9		bacteria
A0A353K3A1		bacteria
A0A353LWL6		bacteria
A0A353MCR0		bacteria
A0A353MQY3		bacteria
A0A353NC41		bacteria
A0A353SX71		bacteria
A0A353UEZ0		bacteria
A0A353V506		bacteria
A0A353W0M4		bacteria
A0A353W3Y4		bacteria
A0A354B8S4		bacteria
A0A354C4H0		bacteria
A0A354EBP7		bacteria
A0A354FS02		bacteria
A0A354H2F3		bacteria
A0A354HUZ8		bacteria
A0A354ZFP1		bacteria
A0A355DC04		bacteria
A0A355EQ70		bacteria
A0A355Q7I3		bacteria
A0A356KVK5		bacteria
A0A356PBC1		bacteria
A0A356PFA2		bacteria
A0A356U872		bacteria
A0A356UG10		bacteria
A0A356ZA87		bacteria
A0A357TBL3		bacteria
A0A357VEA0		bacteria
A0A357VIB4		bacteria
A0A357VKD0		bacteria
A0A357VMU5		bacteria
A0A357YC59		bacteria
A0A357YT98		bacteria
A0A358PY42		bacteria
A0A358Q5S4		bacteria
A0A358QRL2		bacteria
A0A358U281		bacteria
A0A359A0H8		bacteria
A0A359B3W7		bacteria
A0A359B7T1		bacteria
A0A359H8W4		bacteria
A0A359KQ70		bacteria
A0A359LR64		bacteria
A0A363T450		bacteria
A0A363UC66		bacteria
A0A365L6P7		bacteria
A0A366XVK0		bacteria
A0A367Z984		bacteria
A0A368BC24		bacteria
A0A369L8P1		bacteria
A0A369LK32		bacteria
A0A369LNV7		bacteria
A0A369LT01		bacteria
A0A369M5S5		bacteria
A0A369MMG7		bacteria
A0A369MXD5		bacteria
A0A369NFM4		bacteria
A0A369NNA4		bacteria
A0A369XX69		bacteria
A0A369YGY3		bacteria
A0A369YN42		bacteria
A0A369YXJ8		bacteria
A0A369Z2A4		bacteria
A0A369ZAP2		bacteria
A0A369ZIJ4		bacteria
A0A369ZJC1		bacteria
A0A369ZQL0		bacteria
A0A371IU57		bacteria
A0A371JAH8		bacteria
A0A371SMD3		bacteria
A0A372L6A7		bacteria
A0A372LR43		bacteria
A0A372UED2		bacteria
A0A372UI17		bacteria
A0A373N3Q3		bacteria
A0A373NDH5		bacteria
A0A373NPW2		bacteria
A0A373T6X4		bacteria
A0A373ZZS6		bacteria
